activity_id,source_object,account_id,opportunity_id,contact_id,lead_id,contract_id,who_id,what_id,owner_id,subject,activity_type,subtype,status,priority,activity_date,start_datetime,end_datetime,description,created_at,updated_at,source_url,raw_record_id,raw_record_hash
SYN_ACT_0001,Event,SYN_ACC_0001,SYN_OPP_0001,SYN_CON_0001,,,SYN_CON_0001,SYN_OPP_0001,SYN_USR_0001,Discovery call,Meeting,Meeting,Completed,Normal,2026-04-08,2026-04-08T10:00:00+00:00,2026-04-08T10:45:00+00:00,Track security evidence and procurement terms before the decision meeting.,2026-04-07T10:00:00+00:00,2026-04-08T10:00:00+00:00,,CRM_ACT_0001,hash_activity_0001
SYN_ACT_0002,Task,SYN_ACC_0001,SYN_OPP_0001,SYN_CON_0001,,,SYN_CON_0001,SYN_OPP_0001,SYN_USR_0001,Send proposal,Email,Email,Completed,High,2026-04-29,,,Track security evidence and procurement terms before the decision meeting.,2026-04-28T10:00:00+00:00,2026-04-29T10:00:00+00:00,,CRM_ACT_0002,hash_activity_0002
SYN_ACT_0003,Task,SYN_ACC_0001,SYN_OPP_0001,SYN_CON_0001,,,SYN_CON_0001,SYN_OPP_0001,SYN_USR_0001,Answer open stakeholder question,Follow-up,Follow-up,Open,High,2026-05-11,,,Mid-funnel deal with positive Operations support and unresolved security plus procurement blockers.,2026-05-10T10:00:00+00:00,2026-05-11T10:00:00+00:00,,CRM_ACT_0003,hash_activity_0003
SYN_ACT_0004,Event,SYN_ACC_0001,SYN_OPP_0001,SYN_CON_0001,,,SYN_CON_0001,SYN_OPP_0001,SYN_USR_0001,Technical review,Meeting,Meeting,Completed,Normal,2026-05-03,2026-05-03T10:00:00+00:00,2026-05-03T10:45:00+00:00,Track security evidence and procurement terms before the decision meeting.,2026-05-02T10:00:00+00:00,2026-05-03T10:00:00+00:00,,CRM_ACT_0004,hash_activity_0004
SYN_ACT_0005,Task,SYN_ACC_0001,SYN_OPP_0001,SYN_CON_0001,,,SYN_CON_0001,SYN_OPP_0001,SYN_USR_0001,Prepare decision summary,Call,Call,Open,Normal,2026-05-16,,,Track security evidence and procurement terms before the decision meeting.,2026-05-15T10:00:00+00:00,2026-05-16T10:00:00+00:00,,CRM_ACT_0005,hash_activity_0005
SYN_ACT_0006,Event,SYN_ACC_0002,SYN_OPP_0002,SYN_CON_0005,,,SYN_CON_0005,SYN_OPP_0002,SYN_USR_0001,Discovery call,Meeting,Meeting,Completed,Normal,2026-04-08,2026-04-08T10:00:00+00:00,2026-04-08T10:45:00+00:00,Account is stalled after an unanswered procurement question.,2026-04-07T10:00:00+00:00,2026-04-08T10:00:00+00:00,,CRM_ACT_0006,hash_activity_0006
SYN_ACT_0007,Task,SYN_ACC_0002,SYN_OPP_0002,SYN_CON_0005,,,SYN_CON_0005,SYN_OPP_0002,SYN_USR_0001,Send proposal,Email,Email,Completed,High,2026-04-29,,,Account is stalled after an unanswered procurement question.,2026-04-28T10:00:00+00:00,2026-04-29T10:00:00+00:00,,CRM_ACT_0007,hash_activity_0007
SYN_ACT_0008,Task,SYN_ACC_0002,SYN_OPP_0002,SYN_CON_0005,,,SYN_CON_0005,SYN_OPP_0002,SYN_USR_0001,Answer open stakeholder question,Follow-up,Follow-up,Open,High,2026-05-11,,,Stalled account after a procurement question went unanswered.,2026-05-10T10:00:00+00:00,2026-05-11T10:00:00+00:00,,CRM_ACT_0008,hash_activity_0008
SYN_ACT_0009,Event,SYN_ACC_0002,SYN_OPP_0002,SYN_CON_0005,,,SYN_CON_0005,SYN_OPP_0002,SYN_USR_0001,Technical review,Meeting,Meeting,Completed,Normal,2026-05-03,2026-05-03T10:00:00+00:00,2026-05-03T10:45:00+00:00,Account is stalled after an unanswered procurement question.,2026-05-02T10:00:00+00:00,2026-05-03T10:00:00+00:00,,CRM_ACT_0009,hash_activity_0009
SYN_ACT_0010,Task,SYN_ACC_0002,SYN_OPP_0002,SYN_CON_0005,,,SYN_CON_0005,SYN_OPP_0002,SYN_USR_0001,Prepare decision summary,Call,Call,Open,Normal,2026-05-16,,,Account is stalled after an unanswered procurement question.,2026-05-15T10:00:00+00:00,2026-05-16T10:00:00+00:00,,CRM_ACT_0010,hash_activity_0010
